   period_start       period_end      time_high_tide   elevation_above_datum  tide_type  duration 
 2018-07-14 21:36  2018-07-15 05:24  2018-07-15 01:24          1.303              HH       7.8    
 2018-07-15 10:30  2018-07-15 17:24  2018-07-15 13:48          0.959              H        6.9    
 2018-07-15 22:24  2018-07-16 06:18  2018-07-16 02:12           1.19              HH       7.9    
 2018-07-16 11:18  2018-07-16 18:30  2018-07-16 14:48          0.956              H        7.2    
 2018-07-16 23:12  2018-07-17 07:12  2018-07-17 03:18          1.082              HH       8.0    
 2018-07-17 12:12  2018-07-17 19:36  2018-07-17 15:18          0.848              H        7.4    
 2018-07-18 00:30  2018-07-18 07:42  2018-07-18 04:42          0.885              HH       7.2    
 2018-07-18 13:18  2018-07-18 20:54  2018-07-18 16:42          0.933              H        7.6    
 2018-07-19 01:00  2018-07-19 09:06  2018-07-19 05:00          0.949              HH       8.1    
 2018-07-19 13:36  2018-07-19 22:12  2018-07-19 17:42          0.992              HH       8.6    
 2018-07-20 01:48  2018-07-20 10:24  2018-07-20 06:00          0.893              H        8.6    
 2018-07-20 14:24  2018-07-20 23:48  2018-07-20 19:00          1.017              HH       9.4    
 2018-07-21 01:48  2018-07-21 11:00  2018-07-21 06:36          0.812              H        9.2    
 2018-07-21 15:30  2018-07-22 00:06  2018-07-21 20:00          0.934              HH       8.6    
 2018-07-22 03:48  2018-07-22 11:42  2018-07-22 08:18          0.653              H        7.9    
 2018-07-22 16:18  2018-07-23 01:24  2018-07-22 20:42          1.009              HH       9.1    
 2018-07-23 04:00  2018-07-23 13:12  2018-07-23 09:12          0.681              H        9.2    
 2018-07-23 16:36  2018-07-24 01:54  2018-07-23 21:48          0.998              HH       9.3    
 2018-07-24 05:36  2018-07-24 13:30  2018-07-24 09:48          0.643              H        7.9    
 2018-07-24 18:18  2018-07-25 02:42  2018-07-24 22:18          0.883              HH       8.4    
 2018-07-25 07:12  2018-07-25 13:48  2018-07-25 10:30          0.567              H        6.6    
 2018-07-25 19:12  2018-07-26 02:30  2018-07-25 22:48          0.905              HH       7.3    
 2018-07-26 08:00  2018-07-26 14:30  2018-07-26 11:24          0.598              H        6.5    
 2018-07-26 19:24  2018-07-27 03:36  2018-07-26 23:24          0.894              HH       8.2    
 2018-07-27 08:24  2018-07-27 15:00  2018-07-27 11:48          0.592              H        6.6    
 2018-07-27 20:18  2018-07-28 04:00  2018-07-28 00:18          0.883              HH       7.7    
 2018-07-28 09:24  2018-07-28 15:48  2018-07-28 13:00          0.592              H        6.4    
 2018-07-28 20:54  2018-07-29 04:54  2018-07-29 00:54          0.889              HH       8.0    
 2018-07-29 09:42  2018-07-29 16:48  2018-07-29 13:06          0.613              H        7.1    
 2018-07-29 21:24  2018-07-30 05:30  2018-07-30 01:36          0.856              HH       8.1    
 2018-07-30 10:12  2018-07-30 17:30  2018-07-30 13:36          0.702              H        7.3    
 2018-07-30 21:42  2018-07-31 06:00  2018-07-31 02:30          0.998              HH       8.3    
 2018-07-31 10:24  2018-07-31 18:00  2018-07-31 14:18          0.703              H        7.6    
 2018-07-31 22:24  2018-08-01 06:36  2018-08-01 02:54          0.887              HH       8.2    
 2018-08-01 11:24  2018-08-01 19:00  2018-08-01 15:06          0.735              H        7.6    
 2018-08-01 23:12  2018-08-02 07:24  2018-08-02 03:24          0.844              HH       8.2    
 2018-08-02 11:48  2018-08-02 19:54  2018-08-02 16:06          0.756              H        8.1    
 2018-08-02 23:42  2018-08-03 08:00  2018-08-03 04:06          0.805              HH       8.3    
 2018-08-03 12:18  2018-08-03 20:30  2018-08-03 16:36          0.769              H        8.2    
 2018-08-04 00:54  2018-08-04 08:36  2018-08-04 05:18           0.8               H        7.7    
 2018-08-04 13:24  2018-08-04 21:48  2018-08-04 17:30          0.809              HH       8.4    
 2018-08-05 02:06  2018-08-05 09:06  2018-08-05 05:48          0.686              H        7.0    
 2018-08-05 14:42  2018-08-05 22:24  2018-08-05 18:18          0.766              HH       7.7    
 2018-08-06 03:18  2018-08-06 10:00  2018-08-06 06:36          0.585              H        6.7    
 2018-08-06 15:30  2018-08-06 23:36  2018-08-06 19:18          0.871              HH       8.1    
 2018-08-07 04:24  2018-08-07 10:48  2018-08-07 07:36          0.601              H        6.4    
 2018-08-07 16:36  2018-08-08 00:06  2018-08-07 20:12          0.893              HH       7.5    
 2018-08-08 05:48  2018-08-08 11:42  2018-08-08 08:48          0.564              H        5.9    
 2018-08-08 17:42  2018-08-09 01:06  2018-08-08 21:12          0.929              HH       7.4    
 2018-08-09 07:06  2018-08-09 12:36  2018-08-09 10:00          0.768              H        5.5    
 2018-08-09 18:42  2018-08-10 02:12  2018-08-09 22:12          1.086              HH       7.5    
 2018-08-10 07:18  2018-08-10 14:06  2018-08-10 11:06          0.907              H        6.8    
 2018-08-10 19:24  2018-08-11 03:24  2018-08-10 23:06          1.307              HH       8.0    
 2018-08-11 08:24  2018-08-11 15:06  2018-08-11 11:36          0.983              H        6.7    
 2018-08-11 20:36  2018-08-12 03:54  2018-08-12 00:12          1.203              HH       7.3    
 2018-08-12 09:30  2018-08-12 15:54  2018-08-12 12:36          0.919              H        6.4    
 2018-08-12 21:24  2018-08-13 04:48  2018-08-13 00:42          1.094              HH       7.4    
 2018-08-13 10:24  2018-08-13 17:00  2018-08-13 13:36          1.013              H        6.6    
 2018-08-13 22:18  2018-08-14 05:42  2018-08-14 01:54           1.16              HH       7.4    
 2018-08-14 11:06  2018-08-14 18:00  2018-08-14 14:30          1.032              HH       6.9    
 2018-08-14 23:18  2018-08-15 06:18  2018-08-15 03:00          0.912              H        7.0    
 2018-08-15 11:54  2018-08-15 19:00  2018-08-15 15:24          0.956              HH       7.1    
 2018-08-16 00:06  2018-08-16 07:06  2018-08-16 03:42          0.783              H        7.0    
 2018-08-16 12:42  2018-08-16 20:06  2018-08-16 16:24           0.85              HH       7.4    
 2018-08-17 01:12  2018-08-17 07:48  2018-08-17 04:30          0.676              H        6.6    
 2018-08-17 13:48  2018-08-17 21:06  2018-08-17 17:24          0.819              HH       7.3    
 2018-08-18 02:06  2018-08-18 08:54  2018-08-18 05:30          0.561              H        6.8    
 2018-08-18 14:30  2018-08-18 22:24  2018-08-18 18:18          0.784              HH       7.9    
 2018-08-19 03:06  2018-08-19 09:48  2018-08-19 06:24          0.514              H        6.7    
 2018-08-19 15:06  2018-08-19 23:42  2018-08-19 19:12          0.886              HH       8.6    
 2018-08-20 03:24  2018-08-20 11:36  2018-08-20 07:18          0.627              H        8.2    
 2018-08-20 15:36  2018-08-21 01:18  2018-08-20 19:48          0.913              HH       9.7    
 2018-08-21 03:48  2018-08-21 12:54  2018-08-21 08:18          0.705              H        9.1    
 2018-08-21 16:00  2018-08-22 02:00  2018-08-21 21:00          0.991              HH       10.0   
 2018-08-22 04:36  2018-08-22 13:24  2018-08-22 09:12          0.637              H        8.8    
 2018-08-22 17:30  2018-08-23 02:12  2018-08-22 21:30          0.937              HH       8.7    
 2018-08-23 06:06  2018-08-23 14:18  2018-08-23 10:00          0.669              H        8.2    
